Date,Close/Last,Volume,Open,High,Low
07/07/2023,440.80,3441701,440.94,444.96,440.59
07/06/2023,441.93,3248814,441.80,442.3979,439.35
07/05/2023,445.58,6217850,444.19,446.3595,444.19
07/03/2023,446.35,1928101,445.23,446.43,444.96
06/30/2023,445.71,5137766,443.75,446.615,443.45
06/29/2023,440.31,3389380,438.22,440.59,437.88
06/28/2023,438.56,3445646,437.35,439.75,436.70
06/27/2023,438.42,5254422,434.64,439.08,433.5217
06/26/2023,433.62,4936618,434.89,436.86,433.44
06/23/2023,435.46,2651382,435.19,437.35,434.75
06/22/2023,438.80,2512324,436.25,438.90,435.86
06/21/2023,437.22,4067560,438.44,439.4702,436.64
06/20/2023,439.54,4506011,439.715,441.5322,437.30
06/16/2023,441.63,6474382,445.39,445.48,441.25
06/15/2023,443.21,5928686,437.01,444.57,436.87
06/14/2023,437.80,5957989,437.65,439.72,434.24
06/13/2023,437.29,5444491,435.97,437.98,435.26
06/12/2023,434.45,4294439,431.49,434.49,430.77
06/09/2023,430.54,4141371,430.54,432.5962,429.48
06/08/2023,429.68,3473459,427.14,430.20,426.43
06/07/2023,427.21,4047526,429.02,430.21,426.70
06/06/2023,429.96,3539867,428.59,430.50,427.92
06/05/2023,429.05,4318293,430.22,431.569,428.30
06/02/2023,429.79,4525708,426.37,430.67,425.88
06/01/2023,423.75,3786339,419.96,424.80,418.70
05/31/2023,419.43,4479589,420.11,421.07,418.07
05/30/2023,422.03,3239552,423.91,424.43,420.62
05/26/2023,421.95,5531300,417.18,422.63,417.09
05/25/2023,416.48,3487772,416.56,417.97,414.2101
05/24/2023,412.84,3633825,414.24,414.5857,411.67
05/23/2023,415.96,3221021,418.93,419.88,415.5096
05/22/2023,420.56,3076644,420.51,422.26,419.21
05/19/2023,420.44,3873198,422.02,422.59,419.21
05/18/2023,421.05,3087097,416.80,421.52,416.50
05/17/2023,417.01,3131327,414.20,417.67,412.43
05/16/2023,412.01,3433846,413.70,414.62,412.01
05/15/2023,414.78,1934154,414.11,415.23,412.05
05/12/2023,413.41,2281584,415.27,415.37,410.87
05/11/2023,413.95,2509843,413.74,414.21,411.75
05/10/2023,414.57,3186117,415.70,416.3428,410.67
05/09/2023,412.83,2571939,412.92,413.88,412.48
05/08/2023,414.52,2955667,414.78,415.06,413.10
05/05/2023,414.30,2992865,410.68,415.53,410.43
05/04/2023,406.86,4185948,408.65,409.025,405.54
05/03/2023,409.72,3746353,413.18,415.64,409.56
05/02/2023,412.69,4604715,416.54,416.64,409.59
05/01/2023,417.36,2813270,417.29,419.42,417.10
04/28/2023,417.66,3871085,413.27,417.74,413.23
04/27/2023,414.23,4156062,408.75,414.49,408.55
04/26/2023,406.17,5637873,408.47,409.59,405.54
04/25/2023,407.83,3686817,412.34,412.89,407.79
04/24/2023,414.41,3398523,413.75,414.8496,412.39
04/21/2023,413.89,3383997,413.99,414.46,412.00
04/20/2023,413.66,3279818,412.96,415.50,412.0701
04/19/2023,415.99,2936952,414.02,416.87,413.98
04/18/2023,416.02,2653384,417.44,417.52,414.60
04/17/2023,415.78,2482668,414.14,415.85,412.88
04/14/2023,414.25,3546711,414.64,416.89,411.85
04/13/2023,415.27,3570097,411.04,415.62,410.50
04/12/2023,409.93,3958994,413.68,413.94,409.225
04/11/2023,411.47,3656985,412.02,412.97,410.69
04/10/2023,411.48,2778047,408.37,411.50,407.76
04/06/2023,411.01,2975475,408.57,411.265,407.44
04/05/2023,409.46,3698876,409.74,410.48,407.65
04/04/2023,410.43,3496476,413.42,413.69,409.00
04/03/2023,412.54,4455343,410.71,413.16,410.20
03/31/2023,411.08,4224549,406.48,411.44,406.35
03/30/2023,405.39,4066361,405.84,406.10,403.4812
03/29/2023,403.15,4369062,401.66,403.37,400.45
03/28/2023,397.40,2419012,397.47,398.21,395.4001
03/27/2023,398.14,4509654,399.93,400.625,397.29
03/24/2023,397.45,4867812,393.54,397.524,391.09
03/23/2023,394.84,4743633,396.89,401.02,392.08
03/22/2023,395.49,4659897,402.13,405.87,395.41
03/21/2023,402.23,8656680,400.63,402.82,398.95
03/20/2023,397.07,4602565,394.14,397.50,393.38
03/17/2023,393.17,6487547,396.60,397.70,391.86
03/16/2023,397.89,6543846,388.66,398.25,388.05
03/15/2023,391.16,7838392,387.59,391.20,385.45
03/14/2023,393.58,6004891,392.32,395.26,388.82
03/13/2023,387.07,5579127,383.50,392.05,382.37
03/10/2023,387.88,6751220,392.85,394.945,386.11
03/09/2023,393.41,3578709,401.63,403.33,392.32
03/08/2023,400.83,3423540,400.30,401.5899,398.44
03/07/2023,400.13,3536209,406.34,406.58,399.49
03/06/2023,406.54,5754570,407.06,409.38,405.9641
03/03/2023,406.08,3167297,401.58,406.34,400.91
03/02/2023,399.67,3004474,394.498,400.53,394.2023
03/01/2023,396.55,6327361,397.22,398.50,395.20
02/28/2023,397.97,5191528,399.06,401.11,397.97
02/27/2023,399.50,4547747,401.74,403.15,398.61
02/24/2023,398.11,4450443,397.21,399.07,395.48
02/23/2023,402.46,4570022,403.46,404.045,398.10
02/22/2023,400.35,4145859,401.38,402.98,398.85
02/21/2023,401.03,6280646,404.92,406.00,400.68
02/17/2023,409.14,2039030,407.95,409.39,405.95
02/16/2023,410.28,3347288,410.74,414.82,410.08
02/15/2023,415.88,2969115,412.26,415.96,411.44
02/14/2023,414.56,4222803,413.16,417.00,410.446
02/13/2023,414.78,3757214,410.669,414.85,410.19
02/10/2023,409.96,2655938,407.71,410.36,406.93
02/09/2023,409.07,3378847,416.378,416.52,407.73
02/08/2023,412.57,2872002,415.05,416.46,411.88
02/07/2023,417.12,5584762,410.77,418.43,409.53
02/06/2023,411.80,2578974,411.74,413.24,410.03
02/03/2023,414.35,4385968,413.52,418.95,413.04
02/02/2023,418.66,4883296,416.80,420.25,414.80
02/01/2023,412.67,5194565,407.10,415.59,404.22
01/31/2023,408.31,6121226,403.00,408.40,402.67
01/30/2023,402.47,3457432,404.66,407.02,402.20
01/27/2023,407.65,4013017,405.48,410.07,405.39
01/26/2023,406.64,3067578,405.04,406.80,401.92
01/25/2023,402.22,4555266,397.75,402.57,395.42
01/24/2023,402.15,4309892,400.752,403.04,399.50
01/23/2023,402.42,5152423,398.55,404.52,397.60
01/20/2023,397.70,2645499,391.88,397.88,390.19
01/19/2023,390.53,2999950,391.10,392.8731,389.08
01/18/2023,393.33,4348474,400.87,401.94,393.15
01/17/2023,399.63,3510099,400.37,402.065,398.92
01/13/2023,400.37,3192790,395.46,400.92,395.15
01/12/2023,398.80,3988007,398.47,400.31,394.23
01/11/2023,397.25,6273788,394.06,397.40,393.22
01/10/2023,392.36,3649111,389.02,392.44,388.04
01/09/2023,389.56,3474727,392.17,395.50,389.43
01/06/2023,389.83,4839005,384.35,391.03,381.23
01/05/2023,381.13,4329717,383.44,383.545,380.53
01/04/2023,385.51,3805557,384.94,387.63,381.77
01/03/2023,382.53,6454733,386.12,388.1099,379.60
12/30/2022,384.21,5289961,382.42,384.27,380.17
12/29/2022,385.01,5327278,381.37,386.06,380.84
12/28/2022,378.46,4684727,383.09,385.15,378.15
12/27/2022,383.11,4338979,384.55,384.87,381.42
12/23/2022,384.59,3280122,381.44,384.7601,379.77
